"Dataset","Sample","Assembly","total_reads","size","User_time","System_time","Elapsed_time","MRSS","File_outputs","CPU_percentage"
"V248","NGS_Ode","SAMD00025498","shiver",561638,84494383,10421.86,70.22," 2;48;13",1686724,25761344," 103%"
"V2120","NGS_Ode","SAMD00025498","smaltalign",561638,84494383,1777.78,18.54," 10;42.24",1427220,1985640," 279%"
"V2219","NGS_Ode","SAMD00025498","viralngs",561638,84494383,1141.45,32.63," 6;04.82",1403556,7270520," 321%"
"V2319","NGS_Ode","SAMD00025498","vpipe",561638,84494383,19116.06,2898.15," 1;36;35",1186556,17324672," 379%"
"V249","NGS_Ode","SAMD00025499","shiver",222064,31996650,3188.74,40.86," 51;26.11",1419500,10432240," 104%"
"V2121","NGS_Ode","SAMD00025499","smaltalign",222064,31996650,1857.8,14.73," 10;41.96",1427396,1924256," 291%"
"V2220","NGS_Ode","SAMD00025499","viralngs",222064,31996650,413.72,14.74," 2;33.53",857300,2430768," 279%"
"V2320","NGS_Ode","SAMD00025499","vpipe",222064,31996650,14340.48,4106.09," 1;21;02",1182080,14509984," 379%"
"V250","NGS_Ode","SAMD00025500","shiver",239870,34745069,2458.82,27.02," 40;17.99",1341008,6432560," 102%"
"V2122","NGS_Ode","SAMD00025500","smaltalign",239870,34745069,1867.83,13.73," 10;42.47",1427740,1933944," 292%"
"V2221","NGS_Ode","SAMD00025500","viralngs",239870,34745069,567.78,16.26," 3;36.31",947348,2780528," 270%"
"V2321","NGS_Ode","SAMD00025500","vpipe",239870,34745069,15856.84,4310.43," 1;28;18",1182084,14721224," 380%"
"V251","NGS_Ode","SAMD00025501","shiver",295442,48743923,7671.05,55.77," 2;03;36",1348904,20952920," 104%"
"V2123","NGS_Ode","SAMD00025501","smaltalign",295442,48743923,2072.25,16.89," 11;36.90",1427204,2143728," 299%"
"V2222","NGS_Ode","SAMD00025501","viralngs",295442,48743923,693.42,20.91," 4;08.10",944256,3897712," 287%"
"V2322","NGS_Ode","SAMD00025501","vpipe",295442,48743923,18163.41,5109.45," 1;41;42",1178032,15092576," 381%"
"V252","NGS_Ode","SAMD00025502","shiver",920840,135973360,4352.94,43.3," 1;10;02",1473736,18734168," 104%"
"V2124","NGS_Ode","SAMD00025502","smaltalign",920840,135973360,1728.26,15.53," 10;27.69",1427312,1983936," 277%"
"V2223","NGS_Ode","SAMD00025502","viralngs",920840,135973360,1865.63,50.86," 10;33.77",1390832,12342360," 302%"
"V2323","NGS_Ode","SAMD00025502","vpipe",920840,135973360,24301.03,4059.85," 2;03;38",1183136,19773256," 382%"
"V253","NGS_Ode","SAMD00025503","shiver",559678,93663530,9169.78,66.56," 2;27;28",1489872,25877736," 104%"
"V2125","NGS_Ode","SAMD00025503","smaltalign",559678,93663530,2150.9,20.96," 14;02.56",1427280,2186008," 257%"
"V2224","NGS_Ode","SAMD00025503","viralngs",559678,93663530,1821.91,40.61," 7;26.75",1373480,9536288," 416%"
"V2324","NGS_Ode","SAMD00025503","vpipe",559678,93663530,16236.86,2165.38," 1;21;22",1186256,17027848," 376%"
"V254","NGS_Ode","SAMD00025504","shiver",306754,50964819,2657.84,29.22," 42;56.50",1352972,8667064," 104%"
"V2126","NGS_Ode","SAMD00025504","smaltalign",306754,50964819,2287.28,16," 13;30.06",1427312,2157600," 284%"
"V2225","NGS_Ode","SAMD00025504","viralngs",306754,50964819,676.15,21.31," 3;48.77",1005488,3890760," 304%"
"V2325","NGS_Ode","SAMD00025504","vpipe",306754,50964819,20276.69,5777.34," 1;53;09",1186516,15300744," 383%"
